improved;not improved;
1,00E+07;40;z
1,20E+07;52;
1,50E+07;69;
1,80E+07;87;
2,00E+07;98;z
2,20E+07;108;
2,50E+07;129;
2,80E+07;144;
3,00E+07;163;z
3,20E+07;178;
3,50E+07;201;
4,00E+07;214;z
4,20E+07;229;
4,50E+07;246;
4,80E+07;252;
5,00E+07;275;z
5,20E+07;291;
5,50E+07;315;
5,80E+07;322;
6,00E+07;336;z
6,20E+07;354;
6,50E+07;363;
6,80E+07;371;
7,00E+07;395;z
7,20E+07;402;
7,50E+07;444;
7,80E+07;421;
8,00E+07;438;z
8,20E+07;452;
8,50E+07;482;
8,80E+07;507;
9,00E+07;521;z
9,20E+07;543;
9,50E+07;561;
9,80E+07;574;
1,00E+08;589;z
1,02E+08;603;
1,05E+08;611;
1,08E+08;629;
1,10E+08;635;z
